dataset,seed,method,unlearn_time,audit_time,total_time,lpr_acc
BrainTumor,456,Retrain,16.466314792633057,0.2001242637634277,16.666439056396484,75.0
BrainTumor,456,FT,1.6574456691741943,0.1705555915832519,1.8280012607574463,90.9722222222222
BrainTumor,456,Fisher,0.1849715709686279,0.1899840831756591,0.3749556541442871,76.25
BrainTumor,456,Amnesiac,0.8562805652618408,0.1689181327819824,1.0251986980438232,88.61111111111111
BrainTumor,456,UNSIR,2.545470714569092,0.1822102069854736,2.727680921554565,73.47222222222223
BrainTumor,456,BU,0.8690829277038574,0.1766867637634277,1.0457696914672852,89.58333333333333
BrainTumor,456,SSD,0.5298445224761963,0.1713087558746338,0.7011532783508301,90.9722222222222
BrainTumor,456,Target,1.0966029167175293,0.2153103351593017,1.311913251876831,80.55555555555556
COVID19,42,Retrain,42.41824078559876,0.5531580448150635,42.97139883041382,81.11276768772025
COVID19,42,FT,4.151235580444336,0.2595193386077881,4.410754919052124,96.42857142857144
COVID19,42,Fisher,0.5607330799102783,0.3962724208831787,0.957005500793457,75.46760639739767
COVID19,42,Amnesiac,1.2113192081451416,0.2697610855102539,1.4810802936553955,91.16291677961507
COVID19,42,UNSIR,5.665477752685547,0.3181614875793457,5.983639240264893,75.54215234480888
COVID19,42,BU,1.3168115615844729,0.2766149044036865,1.5934264659881592,93.98210897262132
COVID19,42,SSD,1.2906692028045654,0.2630987167358398,1.5537679195404053,96.42857142857144
COVID19,42,Target,1.810103178024292,0.5139434337615967,2.3240466117858887,62.21875847113039
COVID19,123,Retrain,43.39647579193115,0.3182356357574463,43.7147114276886,78.23936026023313
COVID19,123,FT,4.163653612136841,0.2637012004852295,4.42735481262207,96.80130116562754
COVID19,123,Fisher,0.2987592220306396,0.3954434394836426,0.6942026615142822,77.3651396042288
COVID19,123,Amnesiac,1.279559850692749,0.2643542289733886,1.5439140796661377,93.3789644890214
COVID19,123,UNSIR,5.764469861984253,0.2970294952392578,6.061499357223511,76.07752778530768
COVID19,123,BU,1.4615910053253174,0.3099863529205322,1.7715773582458496,95.5001355380862
COVID19,123,SSD,1.254690647125244,0.2831864356994629,1.537877082824707,97.2621306587151
COVID19,123,Target,1.248098850250244,0.4948508739471435,1.7429497241973877,67.07102195716996
COVID19,456,Retrain,43.6109733581543,0.3456573486328125,43.95663070678711,78.15126050420169
COVID19,456,FT,4.242687463760376,0.2794692516326904,4.522156715393066,96.66576307942532
COVID19,456,Fisher,0.278369665145874,0.392500638961792,0.670870304107666,77.29059365681756
COVID19,456,Amnesiac,1.2860102653503418,0.3064067363739013,1.5924170017242432,92.76904310111142
COVID19,456,UNSIR,5.562335014343262,0.3071365356445312,5.869471549987793,75.89455136893467
