dataset,architecture,seed,method,dr_acc,yu_acc,lpr_acc,lpr_auroc,cka_original,cka_retrain,separability,runtime
CIFAR100,resnet18,123,SSD,63.13131313131313,69.0,74.94949494949495,0.9682267115600448,1.0000000466494057,0.9919086133576964,0.6752706088341516,15.416765213012695
CIFAR100,resnet18,123,Target,1.0101010101010102,0.0,51.66666666666667,0.6005162738496072,0.6864335522877733,0.6871689140310022,0.0409188948569594,0.4220924377441406
CIFAR100,resnet18,456,Retrain,61.84848484848485,0.0,78.21548821548822,0.9754657687991022,0.9924304329952788,1.000000006782553,0.490728744943524,918.0334284305573
CIFAR100,resnet18,456,FT,61.686868686868685,29.0,79.91582491582491,0.959169472502806,0.9986490140122982,0.9914248551662888,0.6106904722877574,74.50923013687134
CIFAR100,resnet18,456,Fisher,1.0,0.0,63.14814814814815,0.8281481481481482,0.0,0.0,0.0,0.1738793849945068
CIFAR100,resnet18,456,Amnesiac,28.626262626262623,0.0,74.94949494949495,0.9676430976430976,0.987583553120654,0.9820716556800976,0.3067292668051882,0.7778012752532959
CIFAR100,resnet18,456,UNSIR,2.2626262626262625,0.0,68.18181818181817,0.8859483726150392,0.9615119313439884,0.9612425710704364,0.2651114136838561,78.86776494979858
CIFAR100,resnet18,456,BU,32.0,0.0,76.5993265993266,0.9550617283950618,0.9839754965075528,0.9799124199391158,0.4252338783335642,0.7896945476531982
CIFAR100,resnet18,456,SSD,62.22222222222222,79.0,79.8989898989899,0.9702244668911336,1.0000000354431124,0.9921796680713856,0.6685381243112101,15.35794711112976
CIFAR100,resnet18,456,Target,1.0101010101010102,0.0,51.58249158249159,0.7732323232323233,0.562076457013804,0.5599538359886815,0.0342619229157607,0.4259209632873535
ModelNet10,resnet18,456,Retrain,82.86713286713287,0.0,75.69767441860465,0.913953488372093,0.9911530018671568,0.9999999941001796,0.150839349907604,19.90741467475891
ModelNet10,resnet18,456,FT,80.65268065268066,62.0,73.13953488372094,0.9322997416020672,0.9995455538629028,0.9902271840251092,0.2494489468318333,1.740189790725708
ModelNet10,resnet18,456,Fisher,11.655011655011656,0.0,66.27906976744185,0.8560723514211886,0.0,0.0,0.0,0.3215210437774658
ModelNet10,resnet18,456,Amnesiac,78.43822843822844,36.0,69.8062015503876,0.9284237726098192,0.9836257381898982,0.9743925267309208,0.1972344212776427,0.7198460102081299
ModelNet10,resnet18,456,UNSIR,16.2004662004662,0.0,65.89147286821705,0.930749354005168,0.9085473108920183,0.9065070027479434,0.0280322314970409,2.7689547538757324
ModelNet10,resnet18,456,BU,76.10722610722611,6.0,72.94573643410854,0.9126614987080104,0.9719536377163228,0.9640280579258278,0.1673237894055408,0.834369421005249
ModelNet10,resnet18,456,SSD,80.65268065268066,42.0,76.47286821705426,0.9333333333333332,0.9999989351725712,0.9911568556142252,0.2487145000445798,0.5219879150390625
ModelNet10,resnet18,456,Target,12.12121212121212,0.0,59.61240310077519,0.9046511627906976,0.735141696872431,0.7248991399333419,0.001547693843841,2.6024186611175537
ModelNet10,resnet18,42,Retrain,82.4009324009324,0.0,69.22480620155038,0.9002583979328165,0.9899786139872772,1.000000034301988,0.1160780059075131,16.92658305168152
ModelNet10,resnet18,42,FT,81.58508158508158,40.0,82.55813953488371,0.9124031007751938,0.9995740931493512,0.9901912103403144,0.2414243045312392,1.5962204933166504
ModelNet10,resnet18,42,Fisher,11.538461538461538,0.0,65.69767441860465,0.8043927648578811,0.0,0.0,0.0,0.7400050163269043
ModelNet10,resnet18,42,Amnesiac,72.02797202797203,28.0,82.55813953488371,0.9149870801033592,0.9892016650511564,0.9789462026117532,0.204550235426874,0.5020642280578613
ModelNet10,resnet18,42,UNSIR,17.715617715617714,0.0,69.61240310077518,0.8382428940568475,0.926772094109797,0.9169378786329592,0.0310334014887124,2.582772254943848
ModelNet10,resnet18,42,BU,73.1934731934732,8.0,85.50387596899225,0.9046511627906976,0.9669465280214588,0.9614154434438624,0.167480506368176,0.5728087425231934
ModelNet10,resnet18,42,SSD,81.7016317016317,34.0,82.3643410852713,0.909560723514212,0.9999898573866052,0.989982033357893,0.2409070481208561,0.5041258335113525
