dataset,forget_class,seed,method,dr_acc,yu_acc,lpr_acc,lpr_auroc,cka_original,cka_retrain,separability
CIFAR10,6,42,BU,55.65555555555556,0.0,89.27777777777777,0.9776456790123458,0.9589057582413664,0.9568176407025388,0.101437142103862
CIFAR10,6,42,Target,23.64444444444445,0.0,83.88888888888889,0.9697962962962964,0.957161300950478,0.9519359243298612,0.1571651558896041
CIFAR10,6,123,Retrain,89.94444444444444,0.0,85.20370370370371,0.9707925925925924,0.9887639717957256,0.9999998746168256,0.1438576219827452
CIFAR10,6,123,FT,89.38888888888889,60.0,92.96296296296296,0.9888592592592592,0.9978754481673282,0.9893387634393735,0.1995049287251512
CIFAR10,6,123,BU,49.37777777777778,0.0,89.77777777777777,0.9801358024691358,0.9312220822449898,0.9384845681543774,0.2177842186859417
CIFAR10,6,123,Target,11.811111111111112,0.0,81.61111111111111,0.9629913580246914,0.958639984874074,0.9552517649111262,0.1235335216268834
CIFAR10,6,456,Retrain,89.15555555555555,0.0,87.16666666666666,0.968474074074074,0.9904300043338192,1.000000026100323,0.138625095824473
CIFAR10,6,456,FT,89.64444444444445,54.9,93.4074074074074,0.988246913580247,0.9988329235179552,0.9905963603757484,0.2004413584109187
CIFAR10,6,456,BU,49.388888888888886,0.1,88.51851851851852,0.9759333333333332,0.9616626772030534,0.961390841238576,0.1037307686685495
CIFAR10,6,456,Target,11.1,0.0,86.14814814814815,0.9654567901234568,0.9118914046924418,0.908698427017549,0.2311852023865833
CIFAR10,9,42,Retrain,89.55555555555556,0.0,86.35185185185186,0.9683469135802468,0.9903644313410002,1.0000000368746067,0.2020246087841245
CIFAR10,9,42,FT,89.5111111111111,66.0,92.64814814814817,0.987179012345679,0.9983453153132602,0.9895228494134096,0.3791354832392328
CIFAR10,9,42,BU,36.477777777777774,0.0,90.87037037037037,0.9777148148148148,0.9220066263850556,0.920601254181734,0.14679020933405
CIFAR10,9,42,Target,22.27777777777778,0.0,83.66666666666667,0.9627012345679012,0.9440462428730412,0.9435746525578292,0.3987962818647934
CIFAR10,9,123,Retrain,89.45555555555555,0.0,84.9074074074074,0.9658197530864198,0.9896462256557512,1.0000000238280855,0.1971659930046126
CIFAR10,9,123,FT,89.02222222222223,64.7,93.12962962962963,0.9868975308641976,0.998186839884502,0.9893281105846546,0.3672744636044719
CIFAR10,9,123,BU,32.77777777777778,0.0,91.01851851851852,0.9816617283950616,0.9455687978338684,0.941827357230023,0.1037249991681371
CIFAR10,9,123,Target,25.244444444444444,0.0,85.64814814814814,0.9649345679012346,0.9361536186664282,0.9371261220281834,0.3657485130411788
CIFAR10,9,456,Retrain,89.77777777777777,0.0,85.18518518518519,0.9666950617283953,0.989644244494099,0.9999999878634914,0.2145153588476196
CIFAR10,9,456,FT,89.58888888888889,64.8,93.68518518518518,0.9867716049382717,0.9984863840911598,0.9899074724431446,0.3828197446135819
CIFAR10,9,456,BU,48.52222222222223,0.0,89.11111111111111,0.9815790123456792,0.9561159894511336,0.9522550148895018,0.0998010349831913
CIFAR10,9,456,Target,27.42222222222222,0.0,84.12962962962962,0.9692987654320988,0.7641166038779936,0.7659628664585345,0.3551724866734841
CIFAR100,99,42,Retrain,62.97979797979798,0.0,63.18181818181819,0.9236700336700336,0.9919093053056758,1.000000018770291,0.1329534976449196
CIFAR100,99,42,FT,61.96969696969697,17.0,69.76430976430976,0.9105050505050506,0.9984831093866556,0.9905102153904194,0.216175058753908
CIFAR100,99,42,BU,46.72727272727273,0.0,73.13131313131314,0.8943883277216611,0.9924629752233056,0.9852442160518732,0.1748792031400458
CIFAR100,99,42,Target,1.0101010101010102,0.0,49.93265993265993,0.8726599326599326,0.8231924121692487,0.82035162616968,0.0396827170795523
CIFAR100,99,123,Retrain,62.39393939393939,0.0,63.14814814814815,0.9340291806958474,0.9922384807981603,0.9999999961068486,0.1278896074790927
CIFAR100,99,123,FT,61.55555555555556,15.0,63.1986531986532,0.9111447811447811,0.9988536007479736,0.991708448466606,0.2174950782270651
CIFAR100,99,123,BU,44.696969696969695,0.0,58.18181818181818,0.8978451178451179,0.9942501732712016,0.988570254282075,0.1558472301393894
CIFAR100,99,123,Target,1.0101010101010102,0.0,51.51515151515152,0.8704713804713805,0.4846305674341786,0.4801089545767172,0.2103386584452114
