dataset,architecture,forget_ratio,seed,method,dr_acc,lpr_acc,lpr_auroc
YahooAnswers,mlp,0.1,42,UNSIR,38.82,50.4,0.5018257777777778
YahooAnswers,mlp,0.1,42,BU,10.07,51.86666666666666,0.522336
YahooAnswers,mlp,0.1,42,Target,58.07,52.2,0.5137937777777778
YahooAnswers,mlp,0.1,123,Retrain,61.2,51.06666666666666,0.5044035555555555
YahooAnswers,mlp,0.1,123,FT,60.96,48.733333333333334,0.5030968888888889
YahooAnswers,mlp,0.1,123,Amnesiac,28.33,50.46666666666666,0.5080426666666666
YahooAnswers,mlp,0.1,123,UNSIR,40.29,48.199999999999996,0.48515733333333333
YahooAnswers,mlp,0.1,123,BU,10.13,50.46666666666667,0.5126364444444445
YahooAnswers,mlp,0.1,123,Target,57.57,48.86666666666667,0.5007982222222223
YahooAnswers,mlp,0.1,456,Retrain,61.34,53.666666666666664,0.5416604444444444
YahooAnswers,mlp,0.1,456,FT,61.38,50.53333333333333,0.49833244444444447
YahooAnswers,mlp,0.1,456,Amnesiac,25.3,51.13333333333333,0.5098488888888889
YahooAnswers,mlp,0.1,456,UNSIR,37.79,49.0,0.49361777777777777
YahooAnswers,mlp,0.1,456,BU,10.36,51.0,0.5033511111111111
YahooAnswers,mlp,0.1,456,Target,57.47,50.86666666666666,0.5086204444444444
